Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2025.07.10 16:12:28,150721199009,XAUUSD,buy,0.13,3 326.14,3 318.38,3 338.13,2025.07.10 16:47:03,3 318.38,0.00,0.00,- 100.88,,
2025.07.10 16:23:43,150721250385,XAGUSD,buy,0.33, 36.700, 36.818, 37.592,2025.07.10 16:39:08, 36.818,0.00,0.00, 194.70,,
2025.07.10 16:23:46,150721250486,XAUUSD,buy,0.19,3 323.50,3 325.99,3 331.37,2025.07.10 16:39:18,3 325.99,0.00,0.00, 47.31,,
2025.07.10 16:23:47,150721250530,XAUUSD,buy,0.12,3 323.63,3 325.99,3 335.80,2025.07.10 16:39:18,3 325.99,0.00,0.00, 28.32,,
2025.07.10 16:39:05,150721309734,XAUUSD,buy,0.2,3 326.22,3 320.82,3 333.95,2025.07.10 16:45:03,3 320.82,0.00,0.00,- 108.00,,
2025.07.10 16:54:32,150721394036,XAGUSD,sell,0.33, 36.543, 36.533, 35.634,2025.07.10 17:25:53, 36.533,0.00,0.00, 16.50,,
2025.07.10 17:10:06,150721475873,XAGUSD,buy,0.33, 36.577, 36.611, 37.468,2025.07.10 17:41:18, 36.611,0.00,0.00, 56.10,,
2025.07.10 17:25:46,150721552476,XAUUSD,buy,0.1,3 316.01,3 318.21,3 333.49,2025.07.10 18:12:17,3 318.21,0.00,0.00, 22.00,,
2025.07.10 17:41:13,150721612103,XAGUSD,buy,0.33, 36.617, 36.785, 37.506,2025.07.10 18:27:55, 36.785,0.00,0.00, 277.20,,
2025.07.10 17:41:18,150721612340,GBPJPY,sell,0.02, 198.784, 198.656, 198.543,2025.07.10 18:27:46, 198.656,0.00,0.00, 1.75,,
2025.07.10 17:56:47,150721658495,NZDUSD,sell,0.09, 0.60029, 0.60143, 0.59859,2025.07.10 18:09:28, 0.60143,0.00,0.00,- 10.26,,
2025.07.10 17:56:48,150721658569,XAGUSD,buy,0.33, 36.626, 36.785, 37.519,2025.07.10 18:27:55, 36.785,0.00,0.00, 262.35,,
2025.07.10 17:56:49,150721658680,XAGUSD,buy,0.33, 36.624, 36.785, 37.519,2025.07.10 18:27:55, 36.785,0.00,0.00, 265.65,,
2025.07.10 17:56:54,150721658967,GBPJPY,sell,0.02, 198.558, 198.734, 198.339,2025.07.10 18:38:42, 198.734,0.00,0.00,- 2.40,,
2025.07.10 18:12:13,150721700318,XAGUSD,buy,0.33, 36.752, 36.785, 37.642,2025.07.10 18:27:55, 36.785,0.00,0.00, 54.45,,
2025.07.10 18:27:36,150721743566,XAGUSD,buy,0.33, 36.800, 36.800, 37.683,2025.07.10 18:48:23, 36.800,0.00,0.00,0.00,,
