Positions,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit
2025.07.11 17:22:46,190562613,USDCHFm,buy,0.01,0.79644,0.79531,0.79761,2025.07.14 01:22:24,0.79603,0,0,-0.52
2025.07.11 17:22:47,190562614,NZDCHFm,sell,0.01,0.47847,0.47947,0.47697,2025.07.14 01:20:40,0.47697,0,-0.1,1.88
2025.07.11 17:22:47,190562615,USOILm,buy,0.01,67.284,66.266,68.766,2025.07.14 01:22:24,67.361,0,0,0.77
2025.07.14 05:38:25,191283514,AUDUSDm,sell,0.1,0.65656,0.65755,0.65531,2025.07.14 07:01:58,0.65596,0,0,6
2025.07.14 05:38:26,191283515,AUDCADm,buy,0.09,0.89956,0.89776,0.90192,2025.07.14 07:02:59,0.89776,0,0,-11.83
2025.07.14 05:38:26,191283517,EURCADm,sell,0.05,1.59827,1.60087,1.59399,2025.07.14 07:02:00,1.59738,0,0,3.25
2025.07.14 05:38:27,191283518,EURAUDm,buy,0.09,1.7772,1.77526,1.77955,2025.07.14 07:02:01,1.77835,0,0,6.79
2025.07.14 05:53:29,191288291,AUDCHFm,sell,0.08,0.52313,0.52413,0.52163,2025.07.14 07:57:46,0.52413,0,0,-10.03
2025.07.14 05:53:29,191288295,AUDCHFm,buy,0.06,0.52322,0.52177,0.52537,2025.07.14 07:02:02,0.52329,0,0,0.53
2025.07.14 05:53:30,191288297,USOILm,buy,0.01,67.333,66.315,68.815,2025.07.14 07:09:43,67.56,0,0,2.27
2025.07.14 05:53:31,191288299,USOILm,buy,0.01,67.333,66.315,68.815,2025.07.14 07:09:42,67.55,0,0,2.17
2025.07.14 05:53:31,191288303,AUDCADm,buy,0.09,0.89881,0.89701,0.90119,2025.07.14 14:51:36,0.89701,0,0,-11.84
2025.07.14 05:53:32,191288313,EURJPYm,buy,0.09,172.011,171.832,172.267,2025.07.14 06:12:18,171.832,0,0,-10.94
2025.07.14 05:53:32,191288315,EURCADm,sell,0.05,1.59801,1.60063,1.59372,2025.07.14 07:00:33,1.59743,0,0,2.12
2025.07.14 06:08:34,191291861,AUDCHFm,sell,0.08,0.52329,0.52429,0.52179,2025.07.14 07:03:03,0.52328,0,0,0.1
2025.07.14 06:08:34,191291862,AUDCHFm,buy,0.06,0.52338,0.52198,0.52545,2025.07.14 07:00:55,0.52341,0,0,0.23
2025.07.14 06:08:35,191291864,USOILm,buy,0.01,67.291,66.273,68.773,2025.07.14 07:09:40,67.55,0,0,2.59
2025.07.14 06:08:36,191291865,AUDCADm,buy,0.09,0.8987,0.89692,0.90103,2025.07.14 14:52:47,0.89692,0,0,-11.71
2025.07.14 06:23:38,191296013,AUDJPYm,sell,0.12,96.67,96.795,96.462,2025.07.14 07:00:31,96.62,0,0,4.07
2025.07.14 06:23:39,191296024,AUDJPYm,buy,0.05,96.688,96.387,97.134,2025.07.14 07:34:33,96.699,0,0,0.37
2025.07.14 06:23:39,191296029,CHFJPYm,buy,0.04,184.637,184.198,185.286,2025.07.14 07:16:16,184.643,0,0,0.16
2025.07.14 07:57:17,191323113,USDCHFm,buy,0.01,0.79727,0.79612,0.79836,2025.07.14 11:25:04,0.79612,0,0,-1.44
2025.07.14 07:57:19,191323116,AUDCADm,buy,0.01,0.8991,0.89715,0.9016,2025.07.14 14:41:44,0.89715,0,0,-1.42
2025.07.14 07:57:20,191323117,GBPAUDm,sell,0.01,2.05205,2.05375,2.04954,2025.07.14 10:18:03,2.05375,0,0,-1.12
2025.07.14 07:57:23,191323119,EURAUDm,buy,0.01,1.77823,1.77596,1.78144,2025.07.14 12:45:06,1.78144,0,0,2.1
2025.07.14 08:12:28,191327351,AUDCADm,buy,0.01,0.89908,0.89715,0.90167,2025.07.14 14:41:44,0.89715,0,0,-1.41
2025.07.14 08:12:34,191327364,EURAUDm,buy,0.01,1.77769,1.77522,1.78091,2025.07.14 12:35:35,1.78091,0,0,2.11
2025.07.14 08:27:36,191330743,CADCHFm,buy,0.01,0.58271,0.58165,0.58415,2025.07.14 12:34:15,0.58165,0,0,-1.33
2025.07.14 08:27:37,191330749,USDCHFm,buy,0.01,0.79709,0.79598,0.79828,2025.07.14 12:00:23,0.79598,0,0,-1.39
2025.07.14 08:27:39,191330768,AUDCADm,buy,0.01,0.89919,0.89726,0.90178,2025.07.14 14:41:39,0.89726,0,0,-1.41
2025.07.14 08:27:41,191330779,EURAUDm,buy,0.01,1.77772,1.77515,1.78089,2025.07.14 12:35:34,1.78089,0,0,2.08
2025.07.14 08:42:44,191333711,AUDUSDm,buy,0.01,0.6571,0.65512,0.66012,2025.07.14 15:54:51,0.65512,0,0,-1.98
2025.07.14 08:42:47,191333713,AUDCADm,buy,0.01,0.89895,0.89704,0.9016,2025.07.14 14:51:18,0.89704,0,0,-1.4
2025.07.14 08:57:51,191335998,CADCHFm,buy,0.01,0.58258,0.58151,0.58401,2025.07.14 12:55:49,0.58151,0,0,-1.34
2025.07.14 08:57:52,191336002,AUDCHFm,buy,0.01,0.52345,0.52235,0.52448,2025.07.14 12:32:43,0.52235,0,0,-1.38
2025.07.14 08:57:55,191336037,AUDUSDm,buy,0.01,0.65669,0.6556,0.6581,2025.07.14 12:47:24,0.6556,0,0,-1.09
2025.07.14 08:57:56,191336046,AUDUSDm,sell,0.01,0.6566,0.6576,0.65521,2025.07.14 15:54:51,0.65521,0,0,1.39
2025.07.14 08:57:57,191336080,GBPUSDm,buy,0.01,1.34762,1.34652,1.34889,2025.07.14 10:05:28,1.34889,0,0,1.27
2025.07.14 08:57:58,191336086,USDCHFm,buy,0.01,0.7972,0.79607,0.79841,2025.07.14 11:27:24,0.79607,0,0,-1.42
2025.07.14 08:57:59,191336094,USDCADm,sell,0.01,1.3683,1.36934,1.36687,2025.07.14 12:49:51,1.36934,0,0,-0.76
2025.07.14 08:58:02,191336118,USOILm,buy,0.01,67.726,66.734,69.234,2025.07.14 11:58:06,68.226,0,0,5
2025.07.14 09:13:07,191339177,AUDCHFm,buy,0.01,0.52336,0.52227,0.52436,2025.07.14 12:34:05,0.52227,0,0,-1.37
2025.07.14 09:13:09,191339180,AUDUSDm,sell,0.01,0.65646,0.65746,0.65509,2025.07.14 15:55:05,0.65509,0,0,1.37
2025.07.14 09:13:11,191339183,USDCHFm,buy,0.01,0.7972,0.79608,0.79838,2025.07.14 11:27:24,0.79608,0,0,-1.41
2025.07.14 09:13:12,191339185,USDCADm,sell,0.01,1.36825,1.36927,1.36688,2025.07.14 12:47:32,1.36927,0,0,-0.75
2025.07.14 09:13:15,191339191,USOILm,buy,0.01,67.74,66.72,69.22,2025.07.14 11:58:02,68.227,0,0,4.87
2025.07.14 09:28:20,191342056,AUDCHFm,sell,0.01,0.52333,0.52434,0.52229,2025.07.14 12:35:31,0.52229,0,0,1.31
2025.07.14 09:28:22,191342124,AUDUSDm,buy,0.01,0.65676,0.65565,0.65815,2025.07.14 12:45:05,0.65565,0,0,-1.11
2025.07.14 09:28:23,191342141,AUDUSDm,sell,0.01,0.65667,0.65765,0.65529,2025.07.14 15:54:47,0.65529,0,0,1.38
2025.07.14 09:28:26,191342165,USDCHFm,buy,0.01,0.79706,0.79596,0.79828,2025.07.14 12:00:41,0.79596,0,0,-1.38
2025.07.14 09:28:28,191342174,USOILm,buy,0.01,67.75,66.745,69.245,2025.07.14 11:57:58,68.232,0,0,4.82
2025.07.14 09:43:37,191346285,AUDCHFm,buy,0.01,0.5235,0.52193,0.52579,2025.07.14 13:05:05,0.52193,0,0,-1.97
2025.07.14 09:43:39,191346300,AUDUSDm,buy,0.01,0.65672,0.65563,0.65813,2025.07.14 12:47:23,0.65563,0,0,-1.09
2025.07.14 09:43:40,191346324,AUDUSDm,sell,0.01,0.65662,0.65763,0.65529,2025.07.14 15:54:47,0.65529,0,0,1.33
2025.07.14 09:43:42,191346342,USDCHFm,buy,0.01,0.79723,0.79609,0.79839,2025.07.14 11:27:24,0.79609,0,0,-1.43
2025.07.14 09:58:48,191348546,AUDCHFm,buy,0.01,0.52352,0.52199,0.52586,2025.07.14 12:49:21,0.52199,0,0,-1.92
2025.07.14 09:58:49,191348549,AUDUSDm,buy,0.01,0.65691,0.65486,0.66004,2025.07.14 15:55:16,0.65486,0,0,-2.05
2025.07.14 09:58:52,191348559,USDCHFm,buy,0.01,0.79703,0.79589,0.79816,2025.07.14 12:00:46,0.79589,0,0,-1.43
