Time,Symbol,Type,Volume,Entry,Exit,Profit_MT5,Costo_Spread,Profit_Pepperstone
2025.07.10 16:12:28,XAUUSD,buy,0.13,3326.14,3318.38,-100.88,-2.60,-103.48
2025.07.10 16:23:43,XAGUSD,buy,0.33,36.700,36.818,194.70,-3.30,191.40
2025.07.10 16:23:46,XAUUSD,buy,0.19,3323.50,3325.99,47.31,-3.80,43.51
2025.07.10 16:23:47,XAUUSD,buy,0.12,3323.63,3325.99,28.32,-2.40,25.92
2025.07.10 16:39:05,XAUUSD,buy,0.2,3326.22,3320.82,-108.00,-4.00,-112.00
2025.07.10 16:54:32,XAGUSD,sell,0.33,36.543,36.533,16.50,-3.30,13.20
2025.07.10 17:10:06,XAGUSD,buy,0.33,36.577,36.611,56.10,-3.30,52.80
2025.07.10 17:25:46,XAUUSD,buy,0.1,3316.01,3318.21,22.00,-2.00,20.00
2025.07.10 17:41:13,XAGUSD,buy,0.33,36.617,36.785,277.20,-3.30,273.90
2025.07.10 17:41:18,GBPJPY,sell,0.02,198.784,198.656,1.75,-0.30,1.45
2025.07.10 17:56:47,NZDUSD,sell,0.09,0.60029,0.60143,-10.26,-1.08,-11.34
2025.07.10 17:56:48,XAGUSD,buy,0.33,36.626,36.785,262.35,-3.30,259.05
2025.07.10 17:56:49,XAGUSD,buy,0.33,36.624,36.785,265.65,-3.30,262.35
2025.07.10 17:56:54,GBPJPY,sell,0.02,198.558,198.734,-2.40,-0.30,-2.70
2025.07.10 18:12:13,XAGUSD,buy,0.33,36.752,36.785,54.45,-3.30,51.15
2025.07.10 18:27:36,XAGUSD,buy,0.33,36.800,36.800,0.00,-3.30,-3.30

Resumen,,,
Total MT5,,,{sum([ -100.88,194.70,47.31,28.32,-108.00,16.50,56.10,22.00,277.20,1.75,-10.26,262.35,265.65,-2.40,54.45,0.00 ])},{sum([ -103.48,191.40,43.51,25.92,-112.00,13.20,52.80,20.00,273.90,1.45,-11.34,259.05,262.35,-2.70,51.15,-3.30 ])}
